[2l1s] starting multi-start search: 128 seeds
[2l1s] seed s=1.00 q=0.100 alpha=3.14 -> chi2=8204.62
[2l1s] seed s=1.30 q=0.010 alpha=5.11 -> chi2=2358.93
[2l1s] seed s=1.30 q=0.100 alpha=3.14 -> chi2=2257.36
[2l1s] seed s=1.60 q=0.010 alpha=0.39 -> chi2=2296.90
[2l1s] seed s=1.60 q=0.010 alpha=3.93 -> chi2=2115.25
[2l1s] seed s=1.60 q=0.100 alpha=1.18 -> chi2=2143.50
[2l1s] seed s=0.70 q=0.010 alpha=0.79 -> chi2=2123.59
[2l1s] seed s=1.00 q=0.010 alpha=0.79 -> chi2=2261.16
[2l1s] seed s=1.00 q=0.010 alpha=5.11 -> chi2=2368.09
[2l1s] seed s=1.00 q=0.100 alpha=5.50 -> chi2=4120.44
[2l1s] seed s=1.30 q=0.010 alpha=5.50 -> chi2=2324.88
[2l1s] seed s=1.60 q=0.010 alpha=0.00 -> chi2=2263.04
[2l1s] seed s=1.60 q=0.010 alpha=4.32 -> chi2=2261.02
[2l1s] seed s=1.60 q=0.100 alpha=1.57 -> chi2=2143.50
[2l1s] seed s=0.70 q=0.010 alpha=2.36 -> chi2=2248.15
[2l1s] seed s=1.00 q=0.010 alpha=2.36 -> chi2=2257.08
[2l1s] seed s=1.00 q=0.100 alpha=4.32 -> chi2=3782.76
[2l1s] seed s=1.30 q=0.010 alpha=1.57 -> chi2=2143.50
[2l1s] seed s=1.30 q=0.100 alpha=1.57 -> chi2=2143.50
[2l1s] seed s=1.60 q=0.010 alpha=2.75 -> chi2=2257.08
[2l1s] seed s=1.60 q=0.100 alpha=5.89 -> chi2=2273.93
[2l1s] seed s=0.70 q=0.010 alpha=0.39 -> chi2=2225.57
[2l1s] seed s=0.70 q=0.100 alpha=1.96 -> chi2=2183.47
[2l1s] seed s=1.00 q=0.010 alpha=0.39 -> chi2=2159.00
[2l1s] seed s=1.00 q=0.010 alpha=4.32 -> chi2=2297.37
[2l1s] seed s=1.00 q=0.100 alpha=2.75 -> chi2=6727.95
[2l1s] seed s=1.30 q=0.010 alpha=1.18 -> chi2=2143.50
[2l1s] seed s=1.30 q=0.100 alpha=0.39 -> chi2=2296.90
[2l1s] seed s=1.30 q=0.100 alpha=3.53 -> chi2=2920.05
[2l1s] seed s=1.60 q=0.010 alpha=3.14 -> chi2=2271.13
[2l1s] seed s=1.60 q=0.100 alpha=0.39 -> chi2=2300.46
[2l1s] seed s=1.60 q=0.100 alpha=3.14 -> chi2=2258.33
[2l1s] seed s=1.60 q=0.100 alpha=5.50 -> chi2=8171.90
[2l1s] seed s=0.70 q=0.010 alpha=5.11 -> chi2=2260.50
[2l1s] seed s=0.70 q=0.100 alpha=1.18 -> chi2=2155.57
[2l1s] seed s=1.00 q=0.010 alpha=1.57 -> chi2=2143.50
[2l1s] seed s=1.00 q=0.100 alpha=1.96 -> chi2=4091.22
[2l1s] seed s=1.30 q=0.010 alpha=5.89 -> chi2=2163.53
[2l1s] seed s=1.30 q=0.100 alpha=5.11 -> chi2=5941.32
[2l1s] seed s=1.60 q=0.100 alpha=0.79 -> chi2=2143.50
[2l1s] seed s=0.70 q=0.010 alpha=3.53 -> chi2=2109.52
[2l1s] seed s=0.70 q=0.100 alpha=5.89 -> chi2=2151.30
[2l1s] seed s=1.30 q=0.010 alpha=0.00 -> chi2=2263.04
[2l1s] seed s=1.30 q=0.010 alpha=3.14 -> chi2=2257.08
[2l1s] seed s=1.60 q=0.010 alpha=1.18 -> chi2=2143.50
[2l1s] seed s=1.60 q=0.100 alpha=0.00 -> chi2=2272.73
[2l1s] seed s=1.60 q=0.100 alpha=5.11 -> chi2=10770.57
[2l1s] multi-start done, best chi2=2008.85, refining...
[2l1s] final chi2=1909.02
[2l1s] t0 = 2848.97616
[2l1s] u0 = 0.12824
[2l1s] tE = 66.13835
[2l1s] alpha = 6.66082
[2l1s] s = 0.92931
[2l1s] q = 0.00257
saved scratch/O-03-BLG235_2l1s.png
